feature_name,tier,source,train_availability,test_availability,available_after_prediction_start,target_derived,safe_for_inference,decision,leakage_risk,used_by,notes
MD,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes (all 773 wells),yes (all 3 public test wells),yes,no,yes,USE,none,all,"Measured depth. Audited monotonic increasing, exactly 1 ft step, no duplicate values. Defines the row grid and the prefix/suffix boundary; used as the along-hole coordinate for every extrapolation."
X,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,yes,yes,no,yes,USE,none,"ridge, lightgbm, spatial","Surface easting of the trajectory point. Known for the whole wellbore at inference time (the trajectory is surveyed before the geology is interpreted), so it is legitimately available past Prediction Start. Drives lateral displacement and offset-well neighbour search."
Y,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,yes,yes,no,yes,USE,none,"ridge, lightgbm, spatial",Surface northing. Same reasoning as X.
Z,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,yes,yes,no,yes,USE,none,"geometric projection, ridge, lightgbm","True vertical depth/elevation of the trajectory point. The single most important geometric input: TVT changes are the difference between the wellbore's vertical movement and the stratigraphic surface's vertical movement, so dZ is the observable half of dTVT."
GR,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes (145 wells with high missingness; worst 80.1%),yes,yes,no,yes,USE,none,"gr matching, ncc, ridge, lightgbm","Gamma ray measured along the lateral. The only stratigraphic observation available inside the hidden suffix, and therefore the only feature that can correct a drifting geometric extrapolation. Interpolate WITHIN a well only — per-well tool calibration differs. 145 wells have high missingness, so every GR-dependent model must degrade to a geometric fallback rather than emit NaN."
TVT_input,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes (visible prefix only),yes (visible prefix only),no (NaN by construction),"yes (it is the target, revealed on the prefix)","yes, strictly before Prediction Start",USE_PREFIX_ONLY,high if read past Prediction Start; none on the prefix (NaN there by construction in both splits),all (anchor),The known part of the TVT curve. Audited clean prefix/suffix structure with no internal gaps. It is the anchor for every baseline: all models predict the residual TVT - TVT_last so that hold-last is the zero prediction. Any feature derived from it must read only rows strictly before Prediction Start; ``prefix_only_view`` enforces this.
TVT,raw,horizontal well CSV (<well_id>__horizontal_well.csv),"yes (full curve, including the hidden suffix)",no (this is what is scored),train only — it is the label,yes — it IS the target,no,TARGET,critical,supervision only,"Never a feature under any transformation, lag, or aggregate. Train wells carry the complete curve including the hidden region, which makes accidental inclusion silent and catastrophic: it would score near zero in validation and fail on the leaderboard. ``assert_safe_features`` and ``WellData.assert_no_target_leakage`` both refuse feature frames containing it."
Typewell TVT,raw,typewell CSV (<well_id>__typewell.csv),"yes (all wells have typewell files; 1,567,045 rows)",yes (all 3 public test wells),yes,no,yes,USE,"none — it is the typewell's own stratigraphic axis, not the horizontal well's label","gr matching, ncc, ridge, lightgbm","The vertical stratigraphic coordinate of the offset/type well. Provides the domain of the reference GR curve, i.e. the candidate set the alignment searches over, and the physical bounds [min, max] any prediction should respect. Distinct from the TVT target: this is a coordinate of a different well."
Typewell GR,raw,typewell CSV (<well_id>__typewell.csv),yes,yes,yes,no,yes,USE,none,"gr matching, ncc, ridge, lightgbm",Reference gamma-ray log as a function of Typewell TVT. Together with the lateral GR it defines the inverse problem the whole task reduces to: find the TVT whose reference GR best explains the GR observed in the lateral. Resampled onto a uniform TVT grid once per well and reused by the matching and cross-correlation models.
Typewell Geology,raw,typewell CSV (<well_id>__typewell.csv),yes,no,no,"false, but train-only geological metadata",false,TRAIN_ANALYSIS_ONLY,HIGH for final inference,train-side EDA and error analysis only (never inference),"The Geology column is present in train Typewell files (['TVT', 'GR', 'Geology']) but absent from test Typewell files (['TVT', 'GR']). It may be used only for train-side EDA, geological interpretation, and error analysis. It must never enter the final Test feature matrix, alignment features, post-processing, calibration, or ensemble. Corrected from the earlier USE_ALIGNMENT_ONLY entry, which wrongly claimed test availability and would have produced silent train/serve skew: any stacking-order or formation-plausibility check built on it would run in validation and be unavailable at inference."
ANCC,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"ANCC formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 1 of 6."
ASTNL,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"ASTNL formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 3 of 6."
ASTNU,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"ASTNU formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 2 of 6."
BUDA,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"BUDA formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 6 of 6."
EGFDL,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"EGFDL formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 5 of 6."
EGFDU,raw,horizontal well CSV (<well_id>__horizontal_well.csv),yes,NO — column absent from the test horizontal wells,train only,partially — formation tops are picked from the same structural interpretation that defines TVT,no,REJECT,critical — train-only column: silent train/serve skew plus target-adjacent structural information,none (rejected),"EGFDU formation-top marker. Present in train, absent in test, so a model that consumes it raw cannot be evaluated honestly and cannot run at inference. Rejected as a raw feature. The only admissible future use is as the supervision target of a separate fold-trained structural-surface model whose *predictions* are then used as features — that is out of scope until the baselines are reported. Stacking position: 4 of 6."
dmd,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",MD - MD at Prediction Start: feet of hidden suffix already drilled. The primary uncertainty axis — error grows with it.
log1p_dmd,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",log(1 + dmd). Compresses the long tail so a linear model can express sub-linear error growth.
dz,derived,derived from Z,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Z - Z at the last known TVT row. The observable vertical movement of the bit; TVT changes only where dz differs from the structural surface.
dx,derived,derived from X,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",X - X at the last known TVT row.
dy,derived,derived from Y,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Y - Y at the last known TVT row.
lateral_disp,derived,"derived from X, Y",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",sqrt(dx^2 + dy^2): horizontal step-out from the prediction start. The lever arm on which structural dip acts.
dz_per_ft,derived,"derived from Z, MD",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",dz / dmd: mean wellbore vertical gradient since the prediction start.
local_dz_dmd,derived,"derived from Z, MD",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Locally smoothed dZ/dMD (51 ft window): instantaneous wellbore inclination relative to horizontal.
heading_sin,derived,"derived from X, Y",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm","sin of the local trajectory azimuth. Combined with dip, azimuth sets the sign and magnitude of apparent dip along the hole."
heading_cos,derived,"derived from X, Y",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",cos of the local trajectory azimuth.
tvt_last,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,all,Last known TVT value. The anchor: all models predict TVT - tvt_last.
tvt_slope_100,derived,"derived from TVT_input, MD (prefix only)",yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm",Least-squares dTVT/dMD over the final 100 ft of the visible prefix.
tvt_slope_300,derived,"derived from TVT_input, MD (prefix only)",yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm","Least-squares dTVT/dMD over the final 300 ft of the visible prefix. Less noisy, slower to react."
tvt_slope_1000,derived,"derived from TVT_input, MD (prefix only)",yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm",Least-squares dTVT/dMD over the final 1000 ft of the visible prefix: the regional dip trend.
tvt_std_prefix,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm",Standard deviation of TVT over the visible prefix: how structurally restless this well has been so far.
tvt_range_prefix,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm",max - min of TVT over the visible prefix.
prefix_len,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none — read strictly from the prefix,"ridge, lightgbm",Number of rows before Prediction Start: how much evidence the anchor and slope estimates rest on.
gr_filled,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm","GR interpolated WITHIN the well (linear, then edge-held). Never interpolated across wells: per-well calibration baselines differ."
gr_is_missing,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",1 where GR was originally NaN. Lets the model discount gr_filled inside a tool outage instead of trusting an interpolated value.
gr_roll_mean_51,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",51 ft centred rolling mean of gr_filled: the smoothed log character actually used for correlation.
gr_roll_std_51,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",51 ft rolling standard deviation: log texture. Low values mean a featureless interval where alignment is unreliable.
gr_z,derived,derived from GR (prefix statistics),yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm","GR standardised by the well's own prefix mean/std, making the lateral log comparable to the normalised typewell log."
gr_missing_frac_well,derived,derived from GR,yes (computed),yes (computed),constant per well,no,yes,USE,none,"ridge, lightgbm",Fraction of the well's rows with missing GR. Also a reporting stratum: RMSE is broken out by this variable.
tw_gr_at_tvt_last,derived,"derived from Typewell GR, Typewell TVT, TVT_input",yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none,"ridge, lightgbm",Reference GR at the anchor TVT: where in the type section the bit was when supervision stopped.
tw_dgr_dtvt_at_tvt_last,derived,"derived from Typewell GR, Typewell TVT, TVT_input",yes (computed),yes (computed),"constant, captured before Prediction Start",no,yes,USE,none,"ridge, lightgbm",Reference dGR/dTVT at the anchor. Large magnitude means a nearby marker bed and a well-conditioned alignment; near zero means the inverse problem is locally degenerate.
tw_tvt_min,derived,derived from Typewell TVT,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Lower bound of the reference section: predictions outside it are unphysical and are clipped in post-processing.
tw_tvt_max,derived,derived from Typewell TVT,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Upper bound of the reference section.
tw_gr_std,derived,derived from Typewell GR,yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",Variability of the reference log: how much character is available to correlate against.
align_tvt,derived,"derived from GR, Typewell GR, Typewell TVT, MD",yes (computed),yes (computed),yes,no,yes,USE,none,"ncc, gr matching, ridge, lightgbm","TVT estimated by windowed normalized cross-correlation of the lateral GR against the typewell GR, bias-corrected on the prefix. A physical measurement, not a label: it never reads TVT."
align_score,derived,"derived from GR, Typewell GR",yes (computed),yes (computed),yes,no,yes,USE,none,"ncc, gr matching, ridge, lightgbm","Peak normalized correlation of the winning alignment in [-1, 1]. The model's own confidence; low values must trigger the geometric fallback."
align_shift,derived,"derived from align_tvt, TVT_input",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm",align_tvt - tvt_last: the stratigraphic move the correlation claims has happened since the anchor.
align_gradient,derived,"derived from GR, Typewell GR, MD",yes (computed),yes (computed),yes,no,yes,USE,none,"ridge, lightgbm","Best-fitting local dTVT/dMD from the 2-D (offset, gradient) alignment search: an apparent-dip estimate measured from the logs."
pf_track,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Particle-filter weighted TVT-coordinate track; diagnostic feature only.
pf_shift,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Particle-filter track minus the last visible TVT_input anchor.
pf_gradient,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Particle-filter weighted local path gradient.
pf_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Particle concentration after the horizontal-GR observation update.
pf_branch_spread,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Weighted P90-P10 spread of particle TVT-coordinate branches.
pf_path_smoothness,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Absolute change in particle-filter path gradient.
pf_gr_misfit,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,Weighted horizontal-GR versus Typewell-GR mismatch.
pf_fallback,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge particle-filter opt-in,One when the particle update uses only the prefix/geometry fallback.
beam_track,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Beam-weighted TVT-coordinate track; diagnostic feature only.
beam_shift,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Beam track minus the last visible TVT_input anchor.
beam_gradient,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Beam-weighted local path gradient.
beam_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Cost-gap and branch-entropy confidence of the retained beam.
beam_branch_spread,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Weighted P90-P10 spread of retained beam branches.
beam_path_smoothness,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Absolute change in the beam-search path gradient.
beam_gr_misfit,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,Beam-weighted horizontal-GR versus Typewell-GR mismatch.
beam_fallback,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — InferenceTask hides horizontal-well TVT and hidden TVT_input,ridge beam-search opt-in,One when beam expansion uses only the prefix/geometry fallback.
